ID,X,Y,Z,Indoor,InCar,BSdist,GCellID,Relay,RxNodeID,FreqInGHz,BandwidthMHz,N0,RSSI,BestRSRP,BestRSRPNode,BestSINR,RoIDbm,BestCouplingLoss,MaxTxAg,MaxRxAg,AssoTxAg,AssoRxAg,MaxTransmitBeamID
3418,231.377302,-590.215678,1.5,false,false,160.036967,6,true,3418,1.7,1.728,-104.62456261857125,0.0011004913358137714,-29.71006859105165,262,15.313263608388418,-1000,-68.08506859105165,12.938151455936655,-1000,12.938151455936655,0,0
3477,247.724788,-531.11221,1.5,false,false,100.900646,6,true,3477,1.7,1.728,-104.62456261857125,0.020280315083283023,-16.986765973679688,262,18.75139811113525,-1000,-55.36176597367969,10.040606986312405,-1000,10.040606986312405,0,0
3515,313.732565,-480.419212,1.5,false,false,82.833973,6,true,3515,1.7,1.728,-104.62456261857125,0.0023149859343804856,-26.377102029343447,262,22.82822993000876,-1000,-64.75210202934345,9.541013604461236,-1000,1.5103002873564293,0,0
3525,68.70444,-379.339989,1.5,false,false,190.52845,6,true,3525,2.7,1.728,-104.62456261857125,0.002014501499577067,-26.98863457158862,134,21.54674492575868,-1000,-65.36363457158862,15.475241550087805,-1000,15.475241550087805,0,0
3530,287.64097,-240.927794,1.5,false,false,197.143866,6,true,3530,1.7,1.728,-104.62456261857125,0.005579702839365569,-22.548510692208943,6,24.72064266395747,-1000,-60.92351069220894,15.067548620617046,-1000,15.067548620617046,0,0
3542,365.402836,-583.886301,1.5,false,false,191.397251,6,true,3542,3.7,1.728,-104.62456261857125,0.0005348586350417217,-32.732722858442344,262,24.57678473242894,-1000,-71.10772285844234,16.070729368142946,-1000,16.070729368142946,0,0
3543,289.363087,-390.958591,1.5,false,false,62.211339,6,true,3543,1.7,1.728,-104.62456261857125,0.0014486340162408024,-28.404871763277313,6,24.7693636973,-1000,-66.77987176327731,9.075300876050493,-1000,2.3267022992505306,0,0
3553,364.786854,-313.595098,1.5,false,false,167.298642,6,true,3553,1.7,1.728,-104.62456261857125,4.4682111563393726E-05,-43.60533900418271,6,16.04373323975573,-1000,-81.98033900418271,16.152137141686843,-1000,16.152137141686843,0,0
3587,317.27612,-334.967455,1.5,false,false,121.207246,6,true,3587,2.7,1.728,-104.62456261857125,0.0002970827222197304,-35.31161232194886,6,20.295296916658884,-1000,-73.68661232194886,15.795535829609769,-1000,15.795535829609769,0,0
3617,282.628795,-578.322251,1.5,false,false,150.770532,6,true,3617,2.7,1.728,-104.62456261857125,0.00015903331000228477,-38.02727321274078,262,20.10834106868564,-1000,-76.40227321274078,15.947920424419427,-1000,15.947920424419427,0,0
